idx, removed feature, AUC-training, AUC-validation, percent change AUC-train, percent change AUC-valid
245, PWVETWGT,0.8002,0.762,-1.0802,0.1077
363, PECOHAB,0.8027,0.7621,-0.7709,0.1133
351, PEIO2OCD,0.809,0.7621,0.0055,0.1144
169, PREXPLF,0.8067,0.7621,-0.2831,0.1153
72, PUBUSCK3,0.8067,0.7621,-0.2833,0.1154
279, PXHRUSLT,0.7948,0.7621,-1.7524,0.1159
85, PEHRUSL1,0.8013,0.7621,-0.9475,0.1206
377, PXDISEYE,0.8098,0.7621,0.1087,0.1216
151, PEDWAVL,0.8074,0.7621,-0.1935,0.1218
22, HRLONGLK,0.7992,0.7621,-1.2059,0.1222
317, PXERNPER,0.8088,0.7621,-0.0203,0.1225
264, PXEDUCA,0.8003,0.7621,-1.0747,0.1237
55, PRFAMTYP,0.8089,0.7622,-0.0048,0.126
237, PESCHENR,0.8092,0.7622,0.0268,0.1265
260, PXSPOUSE,0.805,0.7622,-0.4923,0.1296
23, HRHHID2,0.8079,0.7622,-0.1294,0.13
88, PEHRUSLT,0.8085,0.7622,-0.0578,0.1303
67, PUWK,0.8093,0.7622,0.047,0.1323
206, PRMJIND2,0.8086,0.7622,-0.0393,0.136
94, PUHROFF2,0.8061,0.7622,-0.3478,0.1363
52, PULINENO,0.8023,0.7622,-0.8246,0.1368
189, PUIO2MFG,0.8066,0.7623,-0.2906,0.1423
104, PUHRCK4,0.8078,0.7623,-0.1422,0.1429
293, PXLKAVL,0.8082,0.7623,-0.0907,0.1432
342, PXHGCOMP,0.8074,0.7623,-0.1889,0.1462
143, PELKDUR,0.8082,0.7624,-0.0912,0.1529
282, PXHRRSN2,0.8038,0.7624,-0.6351,0.1536
345, PXGR6COR,0.8071,0.7624,-0.2301,0.1543
51, PUCHINHH,0.8077,0.7624,-0.1541,0.1551
379, PXDISPHY,0.8076,0.7624,-0.1628,0.156
112, PULAYAVR,0.8086,0.7624,-0.0437,0.1565
101, PUHRCK1,0.8007,0.7624,-1.0251,0.1566
100, PEHRAVL,0.805,0.7624,-0.4953,0.158
368, PXCOHAB,0.8088,0.7624,-0.0248,0.1598
84, PEMJNUM,0.8093,0.7624,0.0406,0.1614
335, PEDIPGED,0.8073,0.7624,-0.2063,0.1634
154, PUDWCK2,0.8023,0.7625,-0.8211,0.167
366, PXDADTYP,0.8101,0.7625,0.1347,0.1672
196, PRCOW2,0.8095,0.7625,0.0616,0.1693
272, PXABSRSN,0.8096,0.7625,0.0801,0.1712
83, PEMJOT,0.795,0.7625,-1.7233,0.1743
49, PTDTRACE,0.8051,0.7625,-0.4719,0.1757
